Admin2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Province/State,Anhui,Beijing,Chongqing,Fujian,Gansu,Guangdong,Guangxi,Guizhou,Hainan,Hebei,Heilongjiang,Henan,Hong Kong,Hubei,Hunan,Inner Mongolia,Jiangsu,Jiangxi,Jilin,Liaoning,Macau,Ningxia,Qinghai,Shaanxi,Shandong,Shanghai,Shanxi,Sichuan,Tianjin,Tibet,Unknown,Xinjiang,Yunnan,Zhejiang
Country/Region,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China
06-15-2020,6,9,6,1,2,8,2,2,6,6,13,22,4,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-16-2020,6,9,6,1,2,8,2,2,6,6,13,22,4,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-17-2020,6,9,6,1,2,8,2,2,6,6,13,22,4,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-18-2020,6,9,6,1,2,8,2,2,6,6,13,22,4,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-19-2020,6,9,6,1,2,8,2,2,6,6,13,22,4,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-20-2020,6,9,6,1,2,8,2,2,6,6,13,22,5,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-21-2020,6,9,6,1,2,8,2,2,6,6,13,22,5,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-22-2020,6,9,6,1,2,8,2,2,6,6,13,22,5,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-23-2020,6,9,6,1,2,8,2,2,6,6,13,22,6,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-24-2020,6,9,6,1,2,8,2,2,6,6,13,22,6,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-25-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-26-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-27-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-28-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-29-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
06-30-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-01-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-02-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
07-03-2020,6,9,6,1,2,8,2,2,6,6,13,22,7,4512,4,1,0,1,2,2,0,0,0,3,7,7,0,3,3,0,,3,2,1
